pct_mouse_click	pct_click	product_ean	session_id	pct_scroll_move_duration	scroll_move_total_rel_distance	pct_scrandom	mouse_move_total_rel_distance	page_activity_duration	screen_height	pct_mouse_move	pct_input	pct_rage_click	session_duration	user_id	total_load_time	session_start	wild_mouse_duration	browser_name	pct_wild_mouse	pct_scroll_move	ack	pct_doubleclick	screen_width	pct_click_product_info
10.57752	5.46845	6683142269036	701347	7.15619	9.73359	22.64234	6.69014	10.05935	768	9.88998	0.29742	38.25122	143.47976	2364	5.04607	2022-10-26 23:34:44	10.47393	firefox	22.25759	34.48123	0.00000	11.45183	800	42.59830
9.58662	8.06907	9632403910467	1336164	9.96110	11.05089	45.12756	9.47380	9.11886	600	11.23990	0.14439	37.11791	126.11422	286	5.47921	2020-02-03 12:05:35	9.67811	chrome	27.80762	54.03556	0.00000	5.90110	1024	66.33836
9.47789	7.92570	4830022699502	197570	9.45969	11.22442	56.12916	9.08196	9.58957	800	8.95122	0.27797	44.18156	169.69511	1718	5.82196	2019-06-08 04:55:43	10.40237	firefox	45.74291	71.01563	0.00000	5.44241	1920	41.81338
11.39956	6.48313	6012378144815	1233211	7.44172	8.74288	23.14856	7.22458	10.59042	1080	9.32459	3.72974	49.37288	211.51084	567	1.64424	2022-01-14 07:11:36	13.01746	mobile	33.46381	61.27034	0.00000	11.91876	1280	73.00499
9.94396	8.65422	0808433374916	1410112	9.72734	8.69972	42.76892	4.23040	9.35735	800	8.17302	0.46154	54.93887	137.07459	342	3.25284	2020-11-12 10:38:58	10.91638	edge	64.58192	58.27287	0.00000	12.67380	1920	24.31984
11.29012	10.82597	8192199983119	873210	7.46245	11.46140	37.28494	7.91814	7.33164	lower	7.67018	0.24014	47.13189	119.04989	1177	1.60315	2019-06-07 09:13:32	10.22899	edge	42.72189	57.58287	0.00000	8.53207	1280	44.21258
9.12225	7.03099	9615563642997	1016186	8.60250	8.43935	42.42208	5.38193	8.25507	800	8.12892	0.13259	35.66834	86.33757	1100	5.58980	2021-04-08 12:04:00	9.61628	edge	50.79686	37.44257	0.00000	12.89833	1280	56.36145
12.69386	7.66557	5364424949419	503890	6.89103	10.31513	49.20797	9.36456	8.86174	768	9.79029	1.01807	37.91314	178.13273	1420	0.35843	2021-01-21 21:01:15	11.70971	firefox	46.86372	34.77321	0.00000	10.39742	1920	42.74553
8.12376	5.39846	3811284216646	1488120	7.71763	9.16951	30.28427	5.30250	7.20926	800	7.98223	0.15003	60.27915	110.50615	950	0.25971	2020-06-05 12:03:19	9.74535	firefox	36.68637	38.06614	0.00000	10.91194	1920	27.91327
9.85883	7.01221	9172292610128	534777	10.22287	9.05330	44.08650	12.07536	9.07204	800	8.18287	0.08110	50.82348	161.53648	816	8.52508	2022-09-17 03:08:49	9.06429	chrome	59.87199	50.14195	1.00000	8.40940	1280	40.20024
9.17753	6.90075	6487057281219	753310	7.69170	7.03158	45.67922	7.82514	11.07453	768	9.97894	2.72074	49.54748	97.79429	360	0.98929	2020-09-04 14:28:57	12.70361	edge	49.86984	58.62426	0.00000	12.28859	lower	35.78351
7.45197	6.94911	9586496715297	388950	10.86662	7.28777	47.87678	12.06551	9.91901	600	10.18377	0.09912	44.99219	140.41536	2062	0.73621	2022-12-08 09:09:43	9.24179	edge	42.66454	53.17072	1.00000	8.55418	1920	66.92267
10.81559	13.89184	7833741493847	584046	5.87913	9.16223	11.29070	8.39142	7.66742	1024	7.45577	0.08734	53.26291	211.18390	2212	5.22137	2021-05-14 13:43:25	9.13226	chrome	58.14126	49.14813	1.00000	13.07487	1366	60.86416
8.92883	9.04624	4694058621476	984807	9.91782	8.78463	58.12297	12.59464	8.33830	1080	9.70277	0.07255	46.59585	212.09007	2439	7.78325	2023-02-17 00:15:46	8.82150	safari	35.00567	45.83986	1.00000	7.87114	1920	15.55828
10.45716	7.24457	3469536727305	92150	7.00416	12.11138	47.34806	6.93428	9.24216	1080	7.77206	0.55390	68.99874	116.17759	4	3.90044	2020-12-25 02:09:21	11.09581	chrome	44.94105	56.98472	0.00000	6.73250	800	51.40736
9.63558	5.89177	5339795801222	672429	7.17697	13.84240	64.77426	4.96791	10.22594	lower	8.47486	0.02596	54.72872	260.34030	782	3.74405	2023-01-05 15:14:54	7.79826	edge	51.06550	69.45009	0.00000	6.13977	lower	42.93419
8.67889	8.28941	6203564580436	62984	13.12512	9.39439	42.26274	11.49569	8.28031	768	8.95241	0.01804	43.49664	125.44337	824	3.33431	2022-09-18 00:25:02	6.42747	other	48.07332	62.53801	1.00000	7.48528	higher	44.63595
